index,model,train_rmse,test_rmse
77,HistGradientBoostingRegressor,1.923578014747888,2.0518814029976524
78,HistGradientBoostingRegressor,1.923312708893537,2.0525432615569446
79,HistGradientBoostingRegressor,1.92303181749682,2.0526848742179804
80,HistGradientBoostingRegressor,1.9230897872431847,2.0531088994191586
81,HistGradientBoostingRegressor,1.9228854296015618,2.052859148076501
82,HistGradientBoostingRegressor,1.9227522119606522,2.053158072140282
83,HistGradientBoostingRegressor,1.9225806448653302,2.0515216757273897
84,HistGradientBoostingRegressor,1.9219120604937256,2.051330127496077
85,HistGradientBoostingRegressor,1.9220509484645447,2.0518544224990096
86,HistGradientBoostingRegressor,1.9223183397874242,2.0519966578894477
87,HistGradientBoostingRegressor,1.9219885711343605,2.051079507277638
88,HistGradientBoostingRegressor,1.9221653379037544,2.0509350764322956
89,HistGradientBoostingRegressor,1.922472083407445,2.054091247006708
90,HistGradientBoostingRegressor,1.9218199761552444,2.0522829907351414
91,HistGradientBoostingRegressor,1.9216354066385932,2.055235494674985
92,HistGradientBoostingRegressor,1.9216859717795942,2.0538585935885143
93,HistGradientBoostingRegressor,1.921399160745493,2.0524062460715795
94,HistGradientBoostingRegressor,1.9212861714059344,2.053149889699219
95,HistGradientBoostingRegressor,1.9213823478498753,2.054694796823914
96,HistGradientBoostingRegressor,1.921148413727615,2.0537380965340732
97,HistGradientBoostingRegressor,1.9207875727952313,2.0547189695789028
98,HistGradientBoostingRegressor,1.9207023475488327,2.0543389804210137
99,HistGradientBoostingRegressor,1.9204501064793889,2.054205753708496
