,Model,delta,RMSE
6,GradientBoostingRegressor,-1:00,2.0151803117287836
7,LassoLarsCV,-1:00,2.070711885861195
8,LassoLarsIC,-1:00,2.070714748411262
9,BayesianRidge,-1:00,2.0707585969661495
10,RidgeCV,-1:00,2.070785268281634
11,Ridge,-1:00,2.070785268352462
12,TransformedTargetRegressor,-1:00,2.070795530485299
13,LassoCV,-1:00,2.0711399958943066
14,SGDRegressor,-1:00,2.075657016401148
15,ElasticNetCV,-1:00,2.075966661993176
16,HuberRegressor,-1:00,2.0824062158810177
17,LinearSVR,-1:00,2.09185177050369
18,OrthogonalMatchingPursuit,-1:00,2.1126336236479983
19,OrthogonalMatchingPursuitCV,-1:00,2.1126336236479983
20,KNeighborsRegressor,-1:00,2.1287949587206696
21,PoissonRegressor,-1:00,2.1321249318808384
22,LarsCV,-1:00,2.141921978044632
23,GammaRegressor,-1:00,2.2611988465230795
24,TweedieRegressor,-1:00,2.2725467647263655
25,ElasticNet,-1:00,2.3147221610423427
26,LassoLars,-1:00,2.3681263099645355
27,DecisionTreeRegressor,-1:00,2.6451849094043753
28,ExtraTreeRegressor,-1:00,2.7029983917591194
29,AdaBoostRegressor,-1:00,2.786037963255969
30,DummyRegressor,-1:00,2.9966380864076663
31,PassiveAggressiveRegressor,-1:00,5.959608112056899
32,RANSACRegressor,-1:00,6.810784992988129
33,Lars,-1:00,14.59235109207571
0,ExtraTreesRegressor,-1:05,1.8393817510407404
1,XGBRegressor,-1:05,1.8966720742525702
2,BaggingRegressor,-1:05,1.9065016173746476
3,LGBMRegressor,-1:05,1.9306661140120123
4,HistGradientBoostingRegressor,-1:05,1.9349676076768558
5,MLPRegressor,-1:05,1.9868182733936084
6,GradientBoostingRegressor,-1:05,2.0148352523197737
7,LassoLarsIC,-1:05,2.0705690352506285
8,LassoLarsCV,-1:05,2.070586532158459
9,BayesianRidge,-1:05,2.070666203797138
10,Ridge,-1:05,2.070695121402421
11,RidgeCV,-1:05,2.070695121409614
12,TransformedTargetRegressor,-1:05,2.070705294412374
13,LassoCV,-1:05,2.071063876345458
14,ElasticNetCV,-1:05,2.075901464000419
15,SGDRegressor,-1:05,2.0766390135772146
16,HuberRegressor,-1:05,2.0825315186162108
